297	arin	AS297 - National Aeronautics and Space Administration, US
298	arin	RADC-LONEX-AS - 754th Electronic Systems Group, US
299	arin	UCINET-AS - University of California, Irvine, US
300	arin	DNIC-AS-00300 - DoD Network Information Center, US
301	arin	C3PO-AS - 754th Electronic Systems Group, US
302	arin	BCM-INFO-NET-AS - Baylor College of Medicine, US
303	arin	DNIC-AS-00303 - DoD Network Information Center, US
304	arin	SRIEXPRIGNET-AS - SRI International, US
305	arin	DNIC-AS-00305 - Headquarters, USAISC, US
306	arin	DNIC-ASBLK-00306-00371 - DoD Network Information Center, US
307	arin	DNIC-ASBLK-00306-00371 - DoD Network Information Center, US
308	arin	DNIC-ASBLK-00306-00371 - DoD Network Information Center, US
309	arin	DNIC-ASBLK-00306-00371 - DoD Network Information Center, US
310	arin	DNIC-ASBLK-00306-00371 - DoD Network Information Center, US
311	arin	DNIC-ASBLK-00306-00371 - DoD Network Information Center, US
312	arin	DNIC-ASBLK-00306-00371 - DoD Network Information Center, US
313	arin	DNIC-ASBLK-00306-00371 - DoD Network Information Center, US
314	arin	DNIC-ASBLK-00306-00371 - DoD Network Information Center, US
315	arin	DNIC-ASBLK-00306-00371 - DoD Network Information Center, US
316	arin	DNIC-ASBLK-00306-00371 - DoD Network Information Center, US
317	arin	DNIC-ASBLK-00306-00371 - DoD Network Information Center, US
318	arin	DNIC-ASBLK-00306-00371 - DoD Network Information Center, US
319	arin	DNIC-ASBLK-00306-00371 - DoD Network Information Center, US
320	arin	DNIC-ASBLK-00306-00371 - DoD Network Information Center, US
321	arin	DNIC-ASBLK-00306-00371 - DoD Network Information Center, US
322	arin	DNIC-ASBLK-00306-00371 - DoD Network Information Center, US
323	arin	DNIC-ASBLK-00306-00371 - DoD Network Information Center, US
324	arin	DNIC-ASBLK-00306-00371 - DoD Network Information Center, US
325	arin	DNIC-ASBLK-00306-00371 - DoD Network Information Center, US
326	arin	DNIC-ASBLK-00306-00371 - DoD Network Information Center, US
327	arin	DNIC-ASBLK-00306-00371 - DoD Network Information Center, US
328	arin	DNIC-ASBLK-00306-00371 - DoD Network Information Center, US
329	arin	DNIC-ASBLK-00306-00371 - DoD Network Information Center, US
330	arin	DNIC-ASBLK-00306-00371 - DoD Network Information Center, US
331	arin	DNIC-ASBLK-00306-00371 - DoD Network Information Center, US
332	arin	DNIC-ASBLK-00306-00371 - DoD Network Information Center, US
333	arin	DNIC-ASBLK-00306-00371 - DoD Network Information Center, US
334	arin	DNIC-ASBLK-00306-00371 - DoD Network Information Center, US
335	arin	DNIC-ASBLK-00306-00371 - DoD Network Information Center, US
336	arin	DNIC-ASBLK-00306-00371 - DoD Network Information Center, US
337	arin	DNIC-ASBLK-00306-00371 - DoD Network Information Center, US
338	arin	DNIC-ASBLK-00306-00371 - DoD Network Information Center, US
339	arin	DNIC-ASBLK-00306-00371 - DoD Network Information Center, US
340	arin	DNIC-ASBLK-00306-00371 - DoD Network Information Center, US
